,Count,Per
research,40,1.47
project,28,1.03
learning,25,0.92
students,21,0.77
experience,21,0.77
interested,21,0.77
design,17,0.63
wearable,17,0.63
product,15,0.55
reality,15,0.55
work,14,0.52
test,14,0.52
explore,14,0.52
teaching,13,0.48
virtual,13,0.48
development,13,0.48
application,12,0.44
data,12,0.44
help,12,0.44
future,12,0.44
applications,11,0.41
app,11,0.41
develop,11,0.41
software,11,0.41
opportunity,11,0.41
better,11,0.41
class,10,0.37
just,10,0.37
able,10,0.37
study,10,0.37
great,10,0.37
apps,10,0.37
need,9,0.33
science,9,0.33
working,9,0.33
lab,9,0.33
day,9,0.33
feel,9,0.33
device,9,0.33
possible,9,0.33
course,9,0.33
current,8,0.29
record,8,0.29
testing,8,0.29
nc,8,0.29
create,8,0.29
make,8,0.29
time,8,0.29
learn,8,0.29
semester,8,0.29
specifically,7,0.26
digital,7,0.26
android,7,0.26
ncsu,7,0.26
student,7,0.26
state,7,0.26
purpose,7,0.26
exploring,7,0.26
interaction,7,0.26
video,7,0.26
potential,7,0.26
planning,7,0.26
plan,7,0.26
features,7,0.26
i'm,6,0.22
information,6,0.22
improve,6,0.22
university,6,0.22
experiences,6,0.22
functionality,6,0.22
education,6,0.22
looking,6,0.22
concepts,6,0.22
currently,6,0.22
computer,6,0.22
provide,6,0.22
going,6,0.22
engineering,6,0.22
similar,6,0.22
speaking,6,0.22
understand,6,0.22
media,5,0.18
user,5,0.18
contact,5,0.18
sessions,5,0.18
share,5,0.18
real,5,0.18
trying,5,0.18
participants,5,0.18
eye,5,0.18
request,5,0.18
allow,5,0.18
i'd,5,0.18
equipment,5,0.18
faculty,5,0.18
public,5,0.18
library,5,0.18
understanding,5,0.18
travel,5,0.18
live,5,0.18
devices,5,0.18
life,5,0.18
school,5,0.18
focus,5,0.18
purposes,5,0.18
run,4,0.15
visualization,4,0.15
borrow,4,0.15
thanks,4,0.15
fun,4,0.15
recording,4,0.15
dissertation,4,0.15
ideas,4,0.15
classes,4,0.15
marketing,4,0.15
thatcamp,4,0.15
idea,4,0.15
hands,4,0.15
writing,4,0.15
photos,4,0.15
week,4,0.15
show,4,0.15
hope,4,0.15
free,4,0.15
utilize,4,0.15
augmented,4,0.15
pedagogy,4,0.15
hunt,4,0.15
image,4,0.15
know,4,0.15
social,4,0.15
lexisnexis,4,0.15
chance,4,0.15
graduate,4,0.15
it's,4,0.15
interface,4,0.15
later,4,0.15
videos,4,0.15
experiment,4,0.15
gaming,4,0.15
doing,4,0.15
english,4,0.15
words,4,0.15
order,4,0.15
write,4,0.15
attendees,4,0.15
staff,4,0.15
vr,4,0.15
3d,4,0.15
wanted,4,0.15
particularly,4,0.15
date,4,0.15
topic,4,0.15
online,4,0.15
business,4,0.15
studies,3,0.11
mobile,3,0.11
studying,3,0.11
unreal,3,0.11
pick,3,0.11
instead,3,0.11
performance,3,0.11
studio,3,0.11
beneficial,3,0.11
advanced,3,0.11
eyes,3,0.11
campus,3,0.11
communication,3,0.11
brother,3,0.11
discuss,3,0.11
type,3,0.11
questions,3,0.11
paper,3,0.11
accuracy,3,0.11
thank,3,0.11
modelling,3,0.11
game,3,0.11
capabilities,3,0.11
language,3,0.11
allows,3,0.11
begin,3,0.11
access,3,0.11
smart,3,0.11
built,3,0.11
article,3,0.11
way,3,0.11
ways,3,0.11
collection,3,0.11
love,3,0.11
wear,3,0.11
environment,3,0.11
department,3,0.11
platform,3,0.11
program,3,0.11
ability,3,0.11
world,3,0.11
came,3,0.11
building,3,0.11
actually,3,0.11
example,3,0.11
long,3,0.11
march,3,0.11
build,3,0.11
process,3,0.11
hours,3,0.11
propose,3,0.11
classroom,3,0.11
personal,3,0.11
group,3,0.11
map,3,0.11
libraries,3,0.11
little,3,0.11
present,3,0.11
regarding,3,0.11
watch,3,0.11
presentations,3,0.11
interactive,3,0.11
provides,3,0.11
based,3,0.11
instructional,3,0.11
point,3,0.11
experiments,3,0.11
drones,3,0.11
involved,3,0.11
sister,3,0.11
aid,3,0.11
capture,3,0.11
career,3,0.11
making,3,0.11
effective,3,0.11
projects,3,0.11
having,3,0.11
creative,3,0.11
assignment,3,0.11
think,3,0.11
including,3,0.11
card,3,0.11
summer,3,0.11
compare,3,0.11
raleigh,3,0.11
developing,3,0.11
december,3,0.11
mobility,3,0.11
technologies,3,0.11
big,3,0.11
professional,3,0.11
hopefully,3,0.11
production,3,0.11
place,3,0.11
researching,3,0.11
enhance,2,0.07
educational,2,0.07
lecture,2,0.07
person,2,0.07
assess,2,0.07
unc,2,0.07
prescription,2,0.07
motion,2,0.07
incorporate,2,0.07
layar,2,0.07
everyday,2,0.07
sample,2,0.07
filming,2,0.07
important,2,0.07
pod,2,0.07
familiar,2,0.07
proof-of-concept,2,0.07
feasibility,2,0.07
tool,2,0.07
addition,2,0.07
friends,2,0.07
sdk,2,0.07
graduating,2,0.07
photography,2,0.07
effect,2,0.07
beta,2,0.07
duke,2,0.07
robot,2,0.07
sleeping,2,0.07
implement,2,0.07
speak,2,0.07
gadgets,2,0.07
ted,2,0.07
feature,2,0.07
piece,2,0.07
analyze,2,0.07
drone,2,0.07
reference,2,0.07
sep,2,0.07
believe,2,0.07
workshops,2,0.07
possibility,2,0.07
required,2,0.07
informal,2,0.07
methods,2,0.07
audience,2,0.07
languages,2,0.07
getting,2,0.07
simulator,2,0.07
gdk,2,0.07
documentation,2,0.07
children,2,0.07
speech,2,0.07
wish,2,0.07
26th,2,0.07
talk,2,0.07
things,2,0.07
monitor,2,0.07
independent,2,0.07
setting,2,0.07
far,2,0.07
scope,2,0.07
excited,2,0.07
demo,2,0.07
level,2,0.07
dictionary,2,0.07
unity,2,0.07
method,2,0.07
bcs,2,0.07
utilizing,2,0.07
hoping,2,0.07
immersion,2,0.07
talks,2,0.07
include,2,0.07
recognition,2,0.07
interest,2,0.07
consumption,2,0.07
heavily,2,0.07
post,2,0.07
classrooms,2,0.07
prepare,2,0.07
internet,2,0.07
cad,2,0.07
scholarship,2,0.07
response,2,0.07
photo,2,0.07
local,2,0.07
integrating,2,0.07
automatically,2,0.07
space,2,0.07
stage,2,0.07
perspective,2,0.07
main,2,0.07
displaying,2,0.07
systems,2,0.07
members,2,0.07
correlation,2,0.07
iot,2,0.07
wide,2,0.07
increase,2,0.07
music,2,0.07
gis,2,0.07
unique,2,0.07
lens,2,0.07
showcase,2,0.07
cool,2,0.07
sharing,2,0.07
introduced,2,0.07
advance,2,0.07
concept,2,0.07
team,2,0.07
popular,2,0.07
helpful,2,0.07
lectures,2,0.07
continue,2,0.07
support,2,0.07
thesis,2,0.07
abroad,2,0.07
different,2,0.07
apply,2,0.07
medium,2,0.07
api,2,0.07
ot,2,0.07
hand,2,0.07
translation,2,0.07
usability,2,0.07
human,2,0.07
fabulous,2,0.07
versions,2,0.07
difference,2,0.07
relate,2,0.07
designing,2,0.07
developed,2,0.07
assembly,2,0.07
practical,2,0.07
camera,2,0.07
report,2,0.07
determine,2,0.07
multi-modal,2,0.07
open,2,0.07
designed,2,0.07
humanities,2,0.07
